\hline
q^m & p^k & d & |E| & |N_A| & |N| & \text{rank}(G) & |G| \\ \hline
3^1 & 4^k & 3 & 27 & 648 & 648 & 4 & 108 \\ \hline
3^1 & 4^k & 3 & 27 & 648 & 648 & 3 & 216 \\ \hline
3^1 & 4^k & 3 & 27 & 648 & 648 & 3 & 648 \\ \hline
3^1 & 7^k & 3 & 27 & 1296 & 1296 & 4 & 216 \\ \hline
3^1 & 7^k & 3 & 27 & 1296 & 1296 & 4 & 432 \\ \hline
3^1 & 7^k & 3 & 27 & 1296 & 1296 & 4 & 1296 \\ \hline
2^1 & 3^k & 2 & 8 & 48 & 48 & 4 & 2 \\ \hline
2^1 & 3^k & 2 & 8 & 48 & 48 & 3 & 3 \\ \hline
2^1 & 3^k & 2 & 8 & 48 & 48 & 2 & 8 \\ \hline
2^1 & 3^k & 2 & 8 & 48 & 48 & 2 & 16 \\ \hline
2^1 & 3^k & 2 & 8 & 48 & 48 & 2 & 24 \\ \hline
2^1 & 3^k & 2 & 8 & 48 & 48 & 2 & 48 \\ \hline
2^1 & 5^k & 2 & 8 & 96 & 96 & 3 & 12 \\ \hline
2^1 & 5^k & 2 & 8 & 96 & 96 & 2 & 24 \\ \hline
2^1 & 5^k & 2 & 8 & 96 & 96 & 2 & 24 \\ \hline
2^1 & 5^k & 2 & 8 & 96 & 96 & 2 & 48 \\ \hline
2^1 & 5^k & 2 & 8 & 96 & 96 & 2 & 96 \\ \hline
2^1 & 7^k & 2 & 8 & 144 & 144 & 4 & 16 \\ \hline
2^1 & 7^k & 2 & 8 & 144 & 144 & 3 & 24 \\ \hline
2^1 & 7^k & 2 & 8 & 144 & 144 & 2 & 48 \\ \hline
2^1 & 7^k & 2 & 8 & 144 & 144 & 3 & 72 \\ \hline
2^1 & 7^k & 2 & 8 & 144 & 144 & 2 & 144 \\ \hline
2^1 & 3^k & 2 & 8 & 192 & 384 & 4 & 96 \\ \hline
2^1 & 3^k & 2 & 8 & 192 & 384 & 3 & 96 \\ \hline
2^1 & 3^k & 2 & 8 & 192 & 384 & 3 & 192 \\ \hline
2^1 & 3^k & 2 & 8 & 192 & 384 & 4 & 192 \\ \hline
2^1 & 3^k & 2 & 8 & 192 & 384 & 3 & 384 \\ \hline
2^1 & 11^k & 2 & 8 & 240 & 240 & 4 & 40 \\ \hline
2^1 & 11^k & 2 & 8 & 240 & 240 & 4 & 60 \\ \hline
2^1 & 11^k & 2 & 8 & 240 & 240 & 3 & 80 \\ \hline
2^1 & 11^k & 2 & 8 & 240 & 240 & 2 & 120 \\ \hline
2^1 & 11^k & 2 & 8 & 240 & 240 & 2 & 240 \\ \hline
2^1 & 13^k & 2 & 8 & 288 & 288 & 4 & 144 \\ \hline
